============================================================
nanochat base_train
============================================================
COMPUTE_DTYPE: torch.float32 (auto-detected: no CUDA (CPU/MPS))
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/keef/.netrc.
wandb: Currently logged in as: kwizzlesurp10 (kwizzlesurp10-sevtech) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Using a boolean value for 'reinit' is deprecated. Use 'return_previous' or 'finish_previous' instead.
wandb: setting up run kwsklty4
wandb: Tracking run with wandb version 0.25.1
wandb: Run data is saved locally in /home/keef/nanochatkwizzle/wandb/run-20260321_193133-kwsklty4
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run browser_verify_base
wandb: ⭐️ View project at https://wandb.ai/kwizzlesurp10-sevtech/nanochat
wandb: 🚀 View run at https://wandb.ai/kwizzlesurp10-sevtech/nanochat/runs/kwsklty4
Attention: PyTorch SDPA (FA3 is optional; Hopper sm90+ + bf16 enables it). Training is supported on this GPU.
Using --window-pattern L (requested 'SSSL' coerced for SDPA — full-context attention is much faster than sliding-window masks here).
Vocab size: 32,768
Model config:
{
  "sequence_len": 256,
  "vocab_size": 32768,
  "n_layer": 2,
  "n_head": 1,
  "n_kv_head": 1,
  "n_embd": 64,
  "dropout": 0.1,
  "lora_rank": 0,
  "lora_alpha": 16,
  "window_pattern": "L"
}
Parameter counts:
wte                     : 2,097,152
value_embeds            : 2,097,152
lm_head                 : 2,097,152
transformer_matrices    : 98,316
scalars                 : 30
total                   : 6,389,802
Estimated FLOPs per token: 1.356602e+07
Scaling LRs by 0.1250 for batch size 8,192 (reference: 524,288)
Scaling weight decay from 0.100000 to 0.066046 for depth 2
Scaling the LR for the AdamW parameters ∝1/√(64/768) = 3.464102
Using user-provided number of iterations: 100
Total number of training tokens: 819,200
Tokens : Scaling params ratio: 0.37
Total training FLOPs estimate: 1.111329e+13
Tokens / micro-batch / rank: 4 x 256 = 1,024
Tokens / micro-batch: 1,024
Total batch size 8,192 => gradient accumulation steps: 8
Step 00000 | Validation bpb: 3.162127
step 00000/00100 (0.00%) | loss: 10.396631 | lrm: 0.00 | dt: 16832.11ms | tok/sec: 486 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00001/00100 (1.00%) | loss: 10.396696 | lrm: 0.00 | dt: 2017.37ms | tok/sec: 4,060 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00002/00100 (2.00%) | loss: 10.396878 | lrm: 0.00 | dt: 1921.46ms | tok/sec: 4,263 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00003/00100 (3.00%) | loss: 10.397019 | lrm: 0.00 | dt: 1756.34ms | tok/sec: 4,664 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00004/00100 (4.00%) | loss: 10.397021 | lrm: 0.00 | dt: 1624.40ms | tok/sec: 5,043 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00005/00100 (5.00%) | loss: 10.397088 | lrm: 0.00 | dt: 1895.66ms | tok/sec: 4,321 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00006/00100 (6.00%) | loss: 10.397203 | lrm: 0.00 | dt: 2011.35ms | tok/sec: 4,072 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00007/00100 (7.00%) | loss: 10.397179 | lrm: 0.00 | dt: 1681.87ms | tok/sec: 4,870 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00008/00100 (8.00%) | loss: 10.397222 | lrm: 0.00 | dt: 1651.04ms | tok/sec: 4,961 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00009/00100 (9.00%) | loss: 10.397237 | lrm: 0.01 | dt: 1639.67ms | tok/sec: 4,996 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00010/00100 (10.00%) | loss: 10.397203 | lrm: 0.01 | dt: 1997.79ms | tok/sec: 4,100 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00099/00100 (99.00%) | loss: 10.396590 | lrm: 0.05 | dt: 1974.19ms | tok/sec: 4,149 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 4 | total time: 2.69m | eta: 0.0m
Step 00100 | Validation bpb: 3.161864
Evaluating: hellaswag_zeroshot (0-shot, type: multiple_choice)... accuracy: 0.2340 | centered: -0.0213 | time: 22.74s
Evaluating: jeopardy (10-shot, type: language_modeling)... accuracy: 0.0000 | centered: 0.0000 | time: 24.54s
Evaluating: bigbench_qa_wikidata (10-shot, type: language_modeling)... accuracy: 0.0000 | centered: 0.0000 | time: 9.20s
Evaluating: arc_easy (10-shot, type: multiple_choice)... accuracy: 0.2720 | centered: 0.0293 | time: 72.58s
Evaluating: arc_challenge (10-shot, type: multiple_choice)... accuracy: 0.2460 | centered: -0.0053 | time: 82.58s
Evaluating: copa (0-shot, type: multiple_choice)... accuracy: 0.5000 | centered: 0.0000 | time: 0.76s
Evaluating: commonsense_qa (10-shot, type: multiple_choice)... accuracy: 0.4280 | centered: 0.2850 | time: 98.26s
Evaluating: piqa (10-shot, type: multiple_choice)... accuracy: 0.4560 | centered: -0.0880 | time: 46.05s
Evaluating: openbook_qa (0-shot, type: multiple_choice)... accuracy: 0.2240 | centered: -0.0347 | time: 4.15s
Evaluating: lambada_openai (0-shot, type: language_modeling)... accuracy: 0.0000 | centered: 0.0000 | time: 5.04s
Evaluating: hellaswag (10-shot, type: multiple_choice)... accuracy: 0.2340 | centered: -0.0213 | time: 175.57s
Evaluating: winograd (0-shot, type: schema)... accuracy: 0.4799 | centered: -0.0403 | time: 1.61s
Evaluating: winogrande (0-shot, type: schema)... accuracy: 0.5140 | centered: 0.0280 | time: 4.13s
Evaluating: bigbench_dyck_languages (10-shot, type: language_modeling)... accuracy: 0.0000 | centered: 0.0000 | time: 39.50s
Evaluating: agi_eval_lsat_ar (3-shot, type: multiple_choice)... accuracy: 0.2478 | centered: 0.0598 | time: 81.69s
Evaluating: bigbench_cs_algorithms (10-shot, type: language_modeling)... accuracy: 0.0000 | centered: 0.0000 | time: 36.48s
Evaluating: bigbench_operators (10-shot, type: language_modeling)... accuracy: 0.0000 | centered: 0.0000 | time: 12.76s
Evaluating: bigbench_repeat_copy_logic (10-shot, type: language_modeling)... accuracy: 0.0000 | centered: 0.0000 | time: 1.90s
Evaluating: squad (10-shot, type: language_modeling)... Traceback (most recent call last):
  File "/home/keef/.local/share/uv/python/cpython-3.10-linux-x86_64-gnu/lib/python3.10/runpy.py", line 196, in _run_module_as_main
    return _run_code(code, main_globals, None,
  File "/home/keef/.local/share/uv/python/cpython-3.10-linux-x86_64-gnu/lib/python3.10/runpy.py", line 86, in _run_code
    exec(code, run_globals)
  File "/home/keef/nanochatkwizzle/scripts/base_train.py", line 518, in <module>
    results = evaluate_core(orig_model, tokenizer, device, max_per_task=args.core_metric_max_per_task)
  File "/home/keef/nanochatkwizzle/scripts/base_eval.py", line 170, in evaluate_core
    accuracy = evaluate_task(model, tokenizer, data, device, task_meta)
  File "/home/keef/nanochatkwizzle/nanochat/core_eval.py", line 265, in evaluate_task
    is_correct = evaluate_example(idx, model, tokenizer, data, device, task_meta)
  File "/home/keef/nanochatkwizzle/.venv/lib/python3.10/site-packages/torch/utils/_contextlib.py", line 120, in decorate_context
    return func(*args, **kwargs)
  File "/home/keef/nanochatkwizzle/nanochat/core_eval.py", line 232, in evaluate_example
    losses, predictions = forward_model(model, input_ids)
  File "/home/keef/nanochatkwizzle/.venv/lib/python3.10/site-packages/torch/utils/_contextlib.py", line 120, in decorate_context
    return func(*args, **kwargs)
  File "/home/keef/nanochatkwizzle/nanochat/core_eval.py", line 158, in forward_model
    outputs = model(input_ids_chunk)
  File "/home/keef/nanochatkwizzle/.venv/lib/python3.10/site-packages/torch/nn/modules/module.py", line 1775, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File "/home/keef/nanochatkwizzle/.venv/lib/python3.10/site-packages/torch/nn/modules/module.py", line 1786, in _call_impl
    return forward_call(*args, **kwargs)
  File "/home/keef/nanochatkwizzle/nanochat/gpt.py", line 454, in forward
    assert T <= self.cos.size(1), f"Sequence length grew beyond the rotary embeddings cache: {T} > {self.cos.size(1)}"
AssertionError: Sequence length grew beyond the rotary embeddings cache: 2851 > 2560
Traceback (most recent call last):
  File "/home/keef/.local/share/uv/python/cpython-3.10-linux-x86_64-gnu/lib/python3.10/runpy.py", line 196, in _run_module_as_main
    return _run_code(code, main_globals, None,
  File "/home/keef/.local/share/uv/python/cpython-3.10-linux-x86_64-gnu/lib/python3.10/runpy.py", line 86, in _run_code
    exec(code, run_globals)
  File "/home/keef/nanochatkwizzle/scripts/base_train.py", line 518, in <module>
    results = evaluate_core(orig_model, tokenizer, device, max_per_task=args.core_metric_max_per_task)
  File "/home/keef/nanochatkwizzle/scripts/base_eval.py", line 170, in evaluate_core
    accuracy = evaluate_task(model, tokenizer, data, device, task_meta)
  File "/home/keef/nanochatkwizzle/nanochat/core_eval.py", line 265, in evaluate_task
    is_correct = evaluate_example(idx, model, tokenizer, data, device, task_meta)
  File "/home/keef/nanochatkwizzle/.venv/lib/python3.10/site-packages/torch/utils/_contextlib.py", line 120, in decorate_context
    return func(*args, **kwargs)
  File "/home/keef/nanochatkwizzle/nanochat/core_eval.py", line 232, in evaluate_example
    losses, predictions = forward_model(model, input_ids)
  File "/home/keef/nanochatkwizzle/.venv/lib/python3.10/site-packages/torch/utils/_contextlib.py", line 120, in decorate_context
    return func(*args, **kwargs)
  File "/home/keef/nanochatkwizzle/nanochat/core_eval.py", line 158, in forward_model
    outputs = model(input_ids_chunk)
  File "/home/keef/nanochatkwizzle/.venv/lib/python3.10/site-packages/torch/nn/modules/module.py", line 1775, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File "/home/keef/nanochatkwizzle/.venv/lib/python3.10/site-packages/torch/nn/modules/module.py", line 1786, in _call_impl
    return forward_call(*args, **kwargs)
  File "/home/keef/nanochatkwizzle/nanochat/gpt.py", line 454, in forward
    assert T <= self.cos.size(1), f"Sequence length grew beyond the rotary embeddings cache: {T} > {self.cos.size(1)}"
AssertionError: Sequence length grew beyond the rotary embeddings cache: 2851 > 2560
[1;34mwandb[0m: 
[1;34mwandb[0m: 🚀 View run [33mbrowser_verify_base[0m at: [34mhttps://wandb.ai/kwizzlesurp10-sevtech/nanochat/runs/kwsklty4[0m
[1;34mwandb[0m: Find logs at: [1;35mwandb/run-20260321_193133-kwsklty4/logs[0m
